分類,職務名稱,月薪中位數 (萬元),職缺數
行政／總務類人員,總機,4.2,3609
行政／總務類人員,行政主管,5.9,1241
行政／總務類人員,行政人員,3.7,2201
行政／總務類人員,行政助理,3.4,17191
行政／總務類人員,資料輸入人員,3.4,2772
行政／總務類人員,資產管理／工務主管,3.2,21117
行政／總務類人員,辦公室事務管理人員,4.6,10073
行銷類人員,不動產／房仲銷售人員,5.6,3863
行銷類人員,公關專員,4.1,174
行銷類人員,媒體企劃／媒體採買,5.7,606
行銷類人員,媒體媒體採購主管,6.8,17
行銷類人員,市場調查／市場分析,5.0,1548
行銷類人員,廣告企劃,6.5,442
行銷類人員,廣告文案／企劃,4.4,4765
行銷類人員,活動企劃,4.1,3362
行銷類人員,產品行銷企劃,5.2,7904
行銷類人員,社群行銷,4.0,3965
行銷類人員,神秘客,5.0,48
行銷類人員,網路行銷企劃,4.1,5693
行銷類人員,總機暨接待人員／主管,6.7,1123
行銷類人員,行銷主管,6.2,1715
行銷類人員,行銷企劃,4.5,10578
行銷類人員,行銷副總,9.4,1395
行銷類人員,行銷協理,7.0,394
行銷類人員,行銷專員,3.6,2194
行銷類人員,行銷經理,7.0,236
製程／品管／環安衛人員,品保人員,3.8,1391
製程／品管／環安衛人員,品管人員,3.7,1305
製程／品管／環安衛人員,安全人員,4.1,411
製程／品管／環安衛人員,環安人員,4.0,538
製程／品管／環安衛人員,職業安全衛生管理員,4.1,529
製程／品管／環安衛人員,製程工程師,4.1,1973
警衛／消防／救護人員,急救人員,3.9,114
警衛／消防／救護人員,消防人員,4.5,61
警衛／消防／救護人員,警衛,3.3,255
財務／會計／稅務類人員,主辦會計,4.9,4079
財務／會計／稅務類人員,審計人員,5.0,315
財務／會計／稅務類人員,成本會計,4.9,1933
財務／會計／稅務類人員,會計師,6.8,881
財務／會計／稅務類人員,稅務人員,3.8,1086
財務／會計／稅務類人員,稅務／報稅人員,5.3,1741
財務／會計／稅務類人員,稽核人員,5.3,861
財務／會計／稅務類人員,記帳士,3.9,202
財務／會計／稅務類人員,記帳／出納／一般會計,4.0,11544
財務／會計／稅務類人員,財務主管或經理,7.2,2301
財務／會計／稅務類人員,財務分析／財務人員,5.6,4063
財務／會計／稅務類人員,財務會計助理,3.6,6184
財務／會計／稅務類人員,財務長,11.7,780
貿易類人員,保稅人員,4.5,137
