年度,縣市,就業人口數_千人
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
,臺中市,
2016.0,臺南市,957.0
2017.0,臺南市,963.0
2018.0,臺南市,980.0
2019.0,臺南市,991.0
2020.0,臺南市,974.0
2021.0,臺南市,941.0
2022.0,臺南市,953.0
2023.0,臺南市,959.0
2024.0,臺南市,962.0
,臺南市,
2016.0,臺南市,42.08
2017.0,臺南市,41.68
2018.0,臺南市,41.17
2019.0,臺南市,41.58
2020.0,臺南市,43.1
2021.0,臺南市,44.36
2022.0,臺南市,43.64
2023.0,臺南市,42.76
2024.0,臺南市,43.04
,臺南市,
2016.0,臺南市,50.73
2017.0,臺南市,51.3
2018.0,臺南市,51.6
2019.0,臺南市,51.46
2020.0,臺南市,50.15
2021.0,臺南市,48.98
2022.0,臺南市,49.59
2023.0,臺南市,50.99
2024.0,臺南市,50.6
,臺南市,
2016.0,臺南市,7.19
2017.0,臺南市,7.03
2018.0,臺南市,7.23
2019.0,臺南市,6.96
2020.0,臺南市,6.75
2021.0,臺南市,6.66
2022.0,臺南市,6.77
2023.0,臺南市,6.25
2024.0,臺南市,6.36
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
,臺南市,
2016.0,高雄市,1318.0
2017.0,高雄市,1335.0
2018.0,高雄市,1346.0
2019.0,高雄市,1349.0
2020.0,高雄市,1332.0
2021.0,高雄市,1350.0
2022.0,高雄市,1347.0
2023.0,高雄市,1357.0
2024.0,高雄市,1345.0
,高雄市,
2016.0,高雄市,35.75
2017.0,高雄市,36.21
2018.0,高雄市,35.8
2019.0,高雄市,36.47
2020.0,高雄市,36.98
2021.0,高雄市,37.45
2022.0,高雄市,36.4
2023.0,高雄市,36.72
2024.0,高雄市,35.99
,高雄市,
2016.0,高雄市,60.99
2017.0,高雄市,60.48
2018.0,高雄市,60.57
2019.0,高雄市,60.28
2020.0,高雄市,59.52
2021.0,高雄市,59.2
2022.0,高雄市,60.49
2023.0,高雄市,60.14
2024.0,高雄市,61.4
,高雄市,
2016.0,高雄市,3.26
2017.0,高雄市,3.31
2018.0,高雄市,3.63
2019.0,高雄市,3.25
2020.0,高雄市,3.5
2021.0,高雄市,3.35
2022.0,高雄市,3.11
2023.0,高雄市,3.15
2024.0,高雄市,2.6
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
,高雄市,
2016.0,宜蘭縣,221.0
2017.0,宜蘭縣,228.0
2018.0,宜蘭縣,233.0
2019.0,宜蘭縣,233.0
2020.0,宜蘭縣,234.0
2021.0,宜蘭縣,224.0
2022.0,宜蘭縣,215.0
2023.0,宜蘭縣,220.0
2024.0,宜蘭縣,221.0
,宜蘭縣,
2016.0,宜蘭縣,31.03
2017.0,宜蘭縣,31.81
2018.0,宜蘭縣,31.52
2019.0,宜蘭縣,30.81
2020.0,宜蘭縣,32.51
2021.0,宜蘭縣,33.72
2022.0,宜蘭縣,32.24
2023.0,宜蘭縣,31.64
2024.0,宜蘭縣,29.37
,宜蘭縣,
2016.0,宜蘭縣,63.56
2017.0,宜蘭縣,61.61
2018.0,宜蘭縣,62.25
2019.0,宜蘭縣,64.22
2020.0,宜蘭縣,62.36
2021.0,宜蘭縣,60.78
2022.0,宜蘭縣,62.2
2023.0,宜蘭縣,63.37
2024.0,宜蘭縣,65.89
,宜蘭縣,
2016.0,宜蘭縣,5.41
2017.0,宜蘭縣,6.58
2018.0,宜蘭縣,6.22
2019.0,宜蘭縣,4.96
2020.0,宜蘭縣,5.13
2021.0,宜蘭縣,5.5
2022.0,宜蘭縣,5.55
2023.0,宜蘭縣,5.0
2024.0,宜蘭縣,4.75
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
,宜蘭縣,
2016.0,新竹縣,251.0
2017.0,新竹縣,259.0
2018.0,新竹縣,265.0
2019.0,新竹縣,273.0
2020.0,新竹縣,279.0
2021.0,新竹縣,274.0
2022.0,新竹縣,280.0
2023.0,新竹縣,279.0
2024.0,新竹縣,288.0
,新竹縣,
2016.0,新竹縣,52.1
2017.0,新竹縣,51.5
2018.0,新竹縣,51.18
2019.0,新竹縣,49.41
2020.0,新竹縣,47.41
2021.0,新竹縣,50.3
2022.0,新竹縣,53.52
2023.0,新竹縣,52.27
2024.0,新竹縣,53.91
,新竹縣,
2016.0,新竹縣,45.17
2017.0,新竹縣,45.25
2018.0,新竹縣,46.36
2019.0,新竹縣,48.0
2020.0,新竹縣,49.9
2021.0,新竹縣,47.45
2022.0,新竹縣,43.88
2023.0,新竹縣,45.29
2024.0,新竹縣,43.97
,新竹縣,
2016.0,新竹縣,2.73
2017.0,新竹縣,3.25
2018.0,新竹縣,2.46
2019.0,新竹縣,2.59
2020.0,新竹縣,2.69
2021.0,新竹縣,2.26
2022.0,新竹縣,2.6
2023.0,新竹縣,2.44
2024.0,新竹縣,2.13
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
,新竹縣,
2016.0,苗栗縣,268.0
2017.0,苗栗縣,269.0
2018.0,苗栗縣,269.0
2019.0,苗栗縣,266.0
2020.0,苗栗縣,265.0
2021.0,苗栗縣,264.0
2022.0,苗栗縣,267.0
2023.0,苗栗縣,270.0
2024.0,苗栗縣,266.0
,苗栗縣,
2016.0,苗栗縣,48.46
2017.0,苗栗縣,47.96
2018.0,苗栗縣,48.43
2019.0,苗栗縣,46.43
2020.0,苗栗縣,46.22
2021.0,苗栗縣,47.65
2022.0,苗栗縣,47.86
2023.0,苗栗縣,44.81
2024.0,苗栗縣,45.82
,苗栗縣,
2016.0,苗栗縣,45.49
2017.0,苗栗縣,46.0
2018.0,苗栗縣,46.58
2019.0,苗栗縣,47.62
2020.0,苗栗縣,46.91
2021.0,苗栗縣,46.29
2022.0,苗栗縣,46.76
2023.0,苗栗縣,49.38
2024.0,苗栗縣,48.81
,苗栗縣,
2016.0,苗栗縣,6.06
2017.0,苗栗縣,6.04
2018.0,苗栗縣,4.99
2019.0,苗栗縣,5.95
2020.0,苗栗縣,6.87
2021.0,苗栗縣,6.06
2022.0,苗栗縣,5.38
2023.0,苗栗縣,5.81
2024.0,苗栗縣,5.37
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
,苗栗縣,
2016.0,彰化縣,631.0
2017.0,彰化縣,629.0
2018.0,彰化縣,623.0
2019.0,彰化縣,624.0
2020.0,彰化縣,624.0
2021.0,彰化縣,624.0
2022.0,彰化縣,616.0
2023.0,彰化縣,625.0
2024.0,彰化縣,617.0
,彰化縣,
2016.0,彰化縣,46.58
2017.0,彰化縣,46.6
2018.0,彰化縣,47.71
2019.0,彰化縣,47.22
2020.0,彰化縣,47.0
2021.0,彰化縣,45.65
2022.0,彰化縣,44.36
2023.0,彰化縣,44.07
2024.0,彰化縣,44.89
,彰化縣,
2016.0,彰化縣,43.93
2017.0,彰化縣,43.93
2018.0,彰化縣,43.85
2019.0,彰化縣,43.7
2020.0,彰化縣,43.19
2021.0,彰化縣,43.98
2022.0,彰化縣,46.23
2023.0,彰化縣,47.26
2024.0,彰化縣,46.61
,彰化縣,
2016.0,彰化縣,9.5
2017.0,彰化縣,9.47
2018.0,彰化縣,8.44
2019.0,彰化縣,9.08
2020.0,彰化縣,9.81
2021.0,彰化縣,10.37
2022.0,彰化縣,9.41
2023.0,彰化縣,8.67
2024.0,彰化縣,8.5
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
,彰化縣,
