職業類別,大類名稱
醫學研究人員,醫療保健及社會工作服務業
醫療設備工程師,製造業
健檢人員,醫療保健及社會工作服務業
其他醫療保健服務人員,醫療保健及社會工作服務業
導診人員,醫療保健及社會工作服務業
掛號人員,醫療保健及社會工作服務業
接待員,醫療保健及社會工作服務業
救護技術員,醫療保健及社會工作服務業
病歷管理人員,醫療保健及社會工作服務業
看護,醫療保健及社會工作服務業
醫療器材品管人員,製造業
醫療器材工程師,製造業
醫療器材業務人員,批發及零售業
醫療器材研發人員,製造業
醫療器材維修人員,製造業
其他醫療人員,醫療保健及社會工作服務業
放射師,醫療保健及社會工作服務業
牙體技術師,醫療保健及社會工作服務業
物理治療師,醫療保健及社會工作服務業
臨床護理師,醫療保健及社會工作服務業
藥師,醫療保健及社會工作服務業
護士,醫療保健及社會工作服務業
其他醫療技術輔助人員,醫療保健及社會工作服務業
復健助理,醫療保健及社會工作服務業
牙醫助理,醫療保健及社會工作服務業
藥師助理,醫療保健及社會工作服務業
護理助理,醫療保健及社會工作服務業
醫事放射師助理,醫療保健及社會工作服務業
其他護理人員,醫療保健及社會工作服務業
護理人員,醫療保健及社會工作服務業
護理師,醫療保健及社會工作服務業
陪病人員,醫療保健及社會工作服務業
助產士,醫療保健及社會工作服務業
病歷管理員,醫療保健及社會工作服務業
看護∕護佐,醫療保健及社會工作服務業
診所助理,醫療保健及社會工作服務業
醫療行政人員,醫療保健及社會工作服務業
驗光師,醫療保健及社會工作服務業
其他醫療專業人員,醫療保健及社會工作服務業
呼吸治療師,醫療保健及社會工作服務業
營養師,醫療保健及社會工作服務業
獸醫,農、林、漁、牧業
看護人員,醫療保健及社會工作服務業
職能治療師,醫療保健及社會工作服務業
臨床醫事檢驗師,醫療保健及社會工作服務業
藥劑生,醫療保健及社會工作服務業
語言治療師,醫療保健及社會工作服務業
醫檢助理,醫療保健及社會工作服務業
醫療助理,醫療保健及社會工作服務業
SPA芳療師,其他服務業
健身教練,藝術、娛樂及休閒服務業
其他健康美容相關,其他服務業
按摩師,其他服務業
營養諮詢師,醫療保健及社會工作服務業
瑜伽∕舞蹈老師,藝術、娛樂及休閒服務業
美容師,其他服務業
美療師,其他服務業
芳療師,其他服務業
