年別,產業別,總平均月薪資
2018,男性,57110
2019,男性,58403
2020,男性,59168
2021,男性,61615
2022,男性,63676
2023,男性,63607
2024,男性,66749
2025,男性,74358
2018,女性,46954
2019,女性,47942
2020,女性,48609
2021,女性,49821
2022,女性,51611
2023,女性,52474
2024,女性,54422
2025,女性,61288
