縣市,年度,項目,年薪資
臺南市,2023,中位數年薪,512000
高雄市,2020,中位數年薪,494000
高雄市,2021,中位數年薪,500000
高雄市,2022,中位數年薪,506000
高雄市,2023,中位數年薪,518000
宜蘭縣,2020,中位數年薪,470000
宜蘭縣,2021,中位數年薪,476000
宜蘭縣,2022,中位數年薪,488000
宜蘭縣,2023,中位數年薪,500000
新竹縣,2020,中位數年薪,681000
新竹縣,2021,中位數年薪,715000
新竹縣,2022,中位數年薪,720000
新竹縣,2023,中位數年薪,716000
苗栗縣,2020,中位數年薪,537000
苗栗縣,2021,中位數年薪,558000
苗栗縣,2022,中位數年薪,561000
苗栗縣,2023,中位數年薪,567000
彰化縣,2020,中位數年薪,422000
彰化縣,2021,中位數年薪,431000
彰化縣,2022,中位數年薪,437000
彰化縣,2023,中位數年薪,443000
南投縣,2020,中位數年薪,457000
南投縣,2021,中位數年薪,459000
南投縣,2022,中位數年薪,468000
南投縣,2023,中位數年薪,473000
雲林縣,2020,中位數年薪,493000
雲林縣,2021,中位數年薪,492000
雲林縣,2022,中位數年薪,493000
雲林縣,2023,中位數年薪,505000
嘉義縣,2020,中位數年薪,457000
嘉義縣,2021,中位數年薪,456000
嘉義縣,2022,中位數年薪,462000
嘉義縣,2023,中位數年薪,477000
屏東縣,2020,中位數年薪,428000
屏東縣,2021,中位數年薪,434000
屏東縣,2022,中位數年薪,444000
屏東縣,2023,中位數年薪,459000
臺東縣,2020,中位數年薪,433000
臺東縣,2021,中位數年薪,437000
臺東縣,2022,中位數年薪,451000
臺東縣,2023,中位數年薪,467000
花蓮縣,2020,中位數年薪,461000
花蓮縣,2021,中位數年薪,466000
花蓮縣,2022,中位數年薪,474000
花蓮縣,2023,中位數年薪,496000
澎湖縣,2020,中位數年薪,435000
澎湖縣,2021,中位數年薪,436000
澎湖縣,2022,中位數年薪,449000
澎湖縣,2023,中位數年薪,466000
基隆市,2020,中位數年薪,500000
基隆市,2021,中位數年薪,508000
基隆市,2022,中位數年薪,519000
基隆市,2023,中位數年薪,529000
新竹市,2020,中位數年薪,750000
新竹市,2021,中位數年薪,802000
新竹市,2022,中位數年薪,827000
新竹市,2023,中位數年薪,845000
嘉義市,2020,中位數年薪,444000
嘉義市,2021,中位數年薪,447000
嘉義市,2022,中位數年薪,453000
嘉義市,2023,中位數年薪,469000
新北市,2020,男性中位數年薪,546000
新北市,2021,男性中位數年薪,557000
新北市,2022,男性中位數年薪,558000
新北市,2023,男性中位數年薪,568000
臺北市,2020,男性中位數年薪,710000
臺北市,2021,男性中位數年薪,715000
臺北市,2022,男性中位數年薪,735000
臺北市,2023,男性中位數年薪,761000
桃園市,2020,男性中位數年薪,616000
桃園市,2021,男性中位數年薪,639000
桃園市,2022,男性中位數年薪,643000
桃園市,2023,男性中位數年薪,648000
臺中市,2020,男性中位數年薪,509000
臺中市,2021,男性中位數年薪,520000
臺中市,2022,男性中位數年薪,527000
臺中市,2023,男性中位數年薪,536000
臺南市,2020,男性中位數年薪,537000
臺南市,2021,男性中位數年薪,561000
臺南市,2022,男性中位數年薪,565000
臺南市,2023,男性中位數年薪,573000
高雄市,2020,男性中位數年薪,546000
高雄市,2021,男性中位數年薪,560000
高雄市,2022,男性中位數年薪,560000
高雄市,2023,男性中位數年薪,572000
宜蘭縣,2020,男性中位數年薪,501000
宜蘭縣,2021,男性中位數年薪,505000
宜蘭縣,2022,男性中位數年薪,515000
宜蘭縣,2023,男性中位數年薪,526000
新竹縣,2020,男性中位數年薪,781000
新竹縣,2021,男性中位數年薪,827000
新竹縣,2022,男性中位數年薪,834000
新竹縣,2023,男性中位數年薪,826000
苗栗縣,2020,男性中位數年薪,595000
苗栗縣,2021,男性中位數年薪,618000
苗栗縣,2022,男性中位數年薪,622000
苗栗縣,2023,男性中位數年薪,626000
彰化縣,2020,男性中位數年薪,468000
彰化縣,2021,男性中位數年薪,469000
彰化縣,2022,男性中位數年薪,473000
彰化縣,2023,男性中位數年薪,474000
南投縣,2020,男性中位數年薪,495000
南投縣,2021,男性中位數年薪,495000
南投縣,2022,男性中位數年薪,496000
南投縣,2023,男性中位數年薪,499000
雲林縣,2020,男性中位數年薪,563000
雲林縣,2021,男性中位數年薪,581000
雲林縣,2022,男性中位數年薪,574000
雲林縣,2023,男性中位數年薪,586000
嘉義縣,2020,男性中位數年薪,502000
嘉義縣,2021,男性中位數年薪,502000
嘉義縣,2022,男性中位數年薪,505000
嘉義縣,2023,男性中位數年薪,521000
屏東縣,2020,男性中位數年薪,462000
屏東縣,2021,男性中位數年薪,464000
屏東縣,2022,男性中位數年薪,468000
屏東縣,2023,男性中位數年薪,481000
臺東縣,2020,男性中位數年薪,447000
臺東縣,2021,男性中位數年薪,451000
臺東縣,2022,男性中位數年薪,458000
臺東縣,2023,男性中位數年薪,479000
花蓮縣,2020,男性中位數年薪,484000
花蓮縣,2021,男性中位數年薪,486000
花蓮縣,2022,男性中位數年薪,491000
花蓮縣,2023,男性中位數年薪,518000
澎湖縣,2020,男性中位數年薪,459000
澎湖縣,2021,男性中位數年薪,459000
澎湖縣,2022,男性中位數年薪,470000
澎湖縣,2023,男性中位數年薪,481000
基隆市,2020,男性中位數年薪,537000
基隆市,2021,男性中位數年薪,549000
基隆市,2022,男性中位數年薪,558000
基隆市,2023,男性中位數年薪,567000
新竹市,2020,男性中位數年薪,899000
新竹市,2021,男性中位數年薪,980000
新竹市,2022,男性中位數年薪,1016000
新竹市,2023,男性中位數年薪,1036000
嘉義市,2020,男性中位數年薪,462000
嘉義市,2021,男性中位數年薪,465000
嘉義市,2022,男性中位數年薪,467000
嘉義市,2023,男性中位數年薪,479000
新北市,2020,女性中位數年薪,470000
新北市,2021,女性中位數年薪,477000
新北市,2022,女性中位數年薪,489000
新北市,2023,女性中位數年薪,503000
臺北市,2020,女性中位數年薪,618000
臺北市,2021,女性中位數年薪,624000
臺北市,2022,女性中位數年薪,648000
臺北市,2023,女性中位數年薪,670000
桃園市,2020,女性中位數年薪,495000
桃園市,2021,女性中位數年薪,506000
桃園市,2022,女性中位數年薪,517000
桃園市,2023,女性中位數年薪,523000
臺中市,2020,女性中位數年薪,430000
臺中市,2021,女性中位數年薪,435000
臺中市,2022,女性中位數年薪,448000
臺中市,2023,女性中位數年薪,464000
臺南市,2020,女性中位數年薪,434000
臺南市,2021,女性中位數年薪,440000
臺南市,2022,女性中位數年薪,453000
臺南市,2023,女性中位數年薪,466000
高雄市,2020,女性中位數年薪,440000
高雄市,2021,女性中位數年薪,444000
高雄市,2022,女性中位數年薪,456000
高雄市,2023,女性中位數年薪,472000
宜蘭縣,2020,女性中位數年薪,433000
宜蘭縣,2021,女性中位數年薪,442000
宜蘭縣,2022,女性中位數年薪,460000
宜蘭縣,2023,女性中位數年薪,471000
新竹縣,2020,女性中位數年薪,590000
新竹縣,2021,女性中位數年薪,600000
新竹縣,2022,女性中位數年薪,608000
新竹縣,2023,女性中位數年薪,615000
苗栗縣,2020,女性中位數年薪,470000
苗栗縣,2021,女性中位數年薪,488000
苗栗縣,2022,女性中位數年薪,501000
苗栗縣,2023,女性中位數年薪,508000
