職業類別,產業,1年以下,1~3年,3~5年,5~7年,7年以上,主職業類別,細職業名稱
半導體工程師,法律╱會計╱顧問╱研發╱設計,38000,41800,45600,49400,53200,光電IC_電子通訊,半導體工程師
半導體工程師,教育╱出版╱藝文相關,45000,49500,54000,58500,63000,光電IC_電子通訊,半導體工程師
半導體工程研發主管,電子科技╱資訊╱軟體╱半導體,90000,99000,108000,117000,126000,光電IC_電子通訊,半導體工程研發主管
半導體製程工程師,電子科技╱資訊╱軟體╱半導體,50000,55000,60000,65000,70000,光電IC_電子通訊,半導體製程工程師
半導體製程工程師,一般傳統製造,33000,36300,39600,42900,46200,光電IC_電子通訊,半導體製程工程師
半導體設備工程師,電子科技╱資訊╱軟體╱半導體,40000,44000,48000,52000,56000,光電IC_電子通訊,半導體設備工程師
半導體設備工程師,一般傳統製造,37000,40700,44400,48100,51800,光電IC_電子通訊,半導體設備工程師
半導體設備工程師,運輸物流╱倉儲╱貿易,32000,35200,38400,41600,44800,光電IC_電子通訊,半導體設備工程師
半導體設備工程師,建築營造╱不動產相關,40800,44900,49000,53100,57200,光電IC_電子通訊,半導體設備工程師
半導體設備工程師,農林漁牧╱水電資源,30000,33000,36000,39000,42000,光電IC_電子通訊,半導體設備工程師
半導體設備工程師,一般服務業,40000,44000,48000,52000,56000,光電IC_電子通訊,半導體設備工程師
太陽能技術工程師,電子科技╱資訊╱軟體╱半導體,38000,41800,45600,49400,53200,光電IC_電子通訊,太陽能技術工程師
太陽能技術工程師,一般傳統製造,33700,37100,40500,43900,47200,光電IC_電子通訊,太陽能技術工程師
太陽能技術工程師,法律╱會計╱顧問╱研發╱設計,45000,49500,54000,58500,63000,光電IC_電子通訊,太陽能技術工程師
太陽能技術工程師,建築營造╱不動產相關,45000,49500,54000,58500,63000,光電IC_電子通訊,太陽能技術工程師
太陽能技術工程師,農林漁牧╱水電資源,40500,44600,48600,52700,56700,光電IC_電子通訊,太陽能技術工程師
太陽能技術工程師,一般服務業,35000,38500,42000,45500,49000,光電IC_電子通訊,太陽能技術工程師
太陽能技術工程師,大眾傳播相關,31000,34100,37200,40300,43400,光電IC_電子通訊,太陽能技術工程師
數位IC設計工程師,電子科技╱資訊╱軟體╱半導體,72100,79300,86500,93700,100900,光電IC_電子通訊,數位IC設計工程師
通訊工程研發主管,法律╱會計╱顧問╱研發╱設計,67500,74300,81000,87800,94500,光電IC_電子通訊,通訊工程研發主管
通訊工程研發主管,一般傳統製造,42000,46200,50400,54600,58800,光電IC_電子通訊,通訊工程研發主管
通訊工程研發主管,政治╱宗教╱社福,60000,66000,72000,78000,84000,光電IC_電子通訊,通訊工程研發主管
通訊工程研發主管,運輸物流╱倉儲╱貿易,50000,55000,60000,65000,70000,光電IC_電子通訊,通訊工程研發主管
通訊工程研發主管,電子科技╱資訊╱軟體╱半導體,86200,94800,103400,112000,120700,光電IC_電子通訊,通訊工程研發主管
零組件工程師,建築營造╱不動產相關,38000,41800,45600,49400,53200,光電IC_電子通訊,零組件工程師
零組件工程師,電子科技╱資訊╱軟體╱半導體,36000,39600,43200,46800,50400,光電IC_電子通訊,零組件工程師
零組件工程師,一般傳統製造,35000,38500,42000,45500,49000,光電IC_電子通訊,零組件工程師
