職業類別,產業,1年以下,1~3年,3~5年,5~7年,7年以上,主職業類別,細職業名稱
通信維修人員,一般服務業,35000,38500,42000,45500,49000,操作_維修_技術服務,通信維修人員
通信維修人員,旅遊╱休閒╱運動,42500,46800,51000,55300,59500,操作_維修_技術服務,通信維修人員
通信維修人員,餐飲╱住宿服務,33200,36500,39900,43200,46500,操作_維修_技術服務,通信維修人員
通信維修人員,大眾傳播相關,34600,38100,41500,45000,48400,操作_維修_技術服務,通信維修人員
通信維修人員,批發╱零售,35000,38500,42000,45500,49000,操作_維修_技術服務,通信維修人員
鈑金技術人員,電子科技╱資訊╱軟體╱半導體,35000,38500,42000,45500,49000,操作_維修_技術服務,鈑金技術人員
鈑金技術人員,一般傳統製造,35000,38500,42000,45500,49000,操作_維修_技術服務,鈑金技術人員
鈑金技術人員,法律╱會計╱顧問╱研發╱設計,28000,30800,33600,36400,39200,操作_維修_技術服務,鈑金技術人員
鈑金技術人員,運輸物流╱倉儲╱貿易,36000,39600,43200,46800,50400,操作_維修_技術服務,鈑金技術人員
鈑金技術人員,建築營造╱不動產相關,46000,50600,55200,59800,64400,操作_維修_技術服務,鈑金技術人員
鈑金技術人員,一般服務業,35000,38500,42000,45500,49000,操作_維修_技術服務,鈑金技術人員
鉗工,電子科技╱資訊╱軟體╱半導體,33000,36300,39600,42900,46200,操作_維修_技術服務,鉗工
鉗工,一般傳統製造,35000,38500,42000,45500,49000,操作_維修_技術服務,鉗工
鉗工,政治╱宗教╱社福,43000,47300,51600,55900,60200,操作_維修_技術服務,鉗工
鉗工,運輸物流╱倉儲╱貿易,30000,33000,36000,39000,42000,操作_維修_技術服務,鉗工
鉗工,建築營造╱不動產相關,40000,44000,48000,52000,56000,操作_維修_技術服務,鉗工
鉗工,農林漁牧╱水電資源,46500,51200,55800,60500,65100,操作_維修_技術服務,鉗工
鉗工,一般服務業,55000,60500,66000,71500,77000,操作_維修_技術服務,鉗工
雷射技術操作員,電子科技╱資訊╱軟體╱半導體,32000,35200,38400,41600,44800,操作_維修_技術服務,雷射技術操作員
雷射技術操作員,一般傳統製造,33000,36300,39600,42900,46200,操作_維修_技術服務,雷射技術操作員
雷射技術操作員,法律╱會計╱顧問╱研發╱設計,30000,33000,36000,39000,42000,操作_維修_技術服務,雷射技術操作員
雷射技術操作員,運輸物流╱倉儲╱貿易,158100,173900,189700,205500,221300,操作_維修_技術服務,雷射技術操作員
雷射技術操作員,建築營造╱不動產相關,31000,34100,37200,40300,43400,操作_維修_技術服務,雷射技術操作員
雷射技術操作員,醫療照護╱環境衛生,42000,46200,50400,54600,58800,操作_維修_技術服務,雷射技術操作員
雷射技術操作員,一般服務業,28000,30800,33600,36400,39200,操作_維修_技術服務,雷射技術操作員
雷射技術操作員,教育╱出版╱藝文相關,31000,34100,37200,40300,43400,操作_維修_技術服務,雷射技術操作員
雷射技術操作員,批發╱零售,30000,33000,36000,39000,42000,操作_維修_技術服務,雷射技術操作員
電器產品維修人員,電子科技╱資訊╱軟體╱半導體,31000,34100,37200,40300,43400,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,一般傳統製造,33000,36300,39600,42900,46200,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,礦業╱土石能源採取,32000,35200,38400,41600,44800,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,政治╱宗教╱社福,34500,38000,41400,44900,48300,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,金融投顧╱保險相關,80000,88000,96000,104000,112000,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,法律╱會計╱顧問╱研發╱設計,30000,33000,36000,39000,42000,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,運輸物流╱倉儲╱貿易,35500,39100,42600,46200,49700,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,建築營造╱不動產相關,35000,38500,42000,45500,49000,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,醫療照護╱環境衛生,33000,36300,39600,42900,46200,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,農林漁牧╱水電資源,35500,39100,42600,46200,49700,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,一般服務業,33800,37200,40500,43900,47300,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,旅遊╱休閒╱運動,29500,32400,35400,38300,41300,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,餐飲╱住宿服務,35300,38800,42300,45900,49400,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,大眾傳播相關,32000,35200,38400,41600,44800,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,教育╱出版╱藝文相關,50000,55000,60000,65000,70000,操作_維修_技術服務,電器產品維修人員
電器產品維修人員,批發╱零售,32000,35200,38400,41600,44800,操作_維修_技術服務,電器產品維修人員
電子設備維修人員,電子科技╱資訊╱軟體╱半導體,35000,38500,42000,45500,49000,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,一般傳統製造,35000,38500,42000,45500,49000,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,政治╱宗教╱社福,36000,39600,43200,46800,50400,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,金融投顧╱保險相關,36000,39600,43200,46800,50400,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,法律╱會計╱顧問╱研發╱設計,33000,36300,39600,42900,46200,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,運輸物流╱倉儲╱貿易,36000,39600,43200,46800,50400,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,建築營造╱不動產相關,35000,38500,42000,45500,49000,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,醫療照護╱環境衛生,36000,39600,43200,46800,50400,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,農林漁牧╱水電資源,35000,38500,42000,45500,49000,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,一般服務業,32000,35200,38400,41600,44800,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,旅遊╱休閒╱運動,35000,38500,42000,45500,49000,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,餐飲╱住宿服務,38000,41800,45600,49400,53200,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,大眾傳播相關,35000,38500,42000,45500,49000,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,教育╱出版╱藝文相關,30500,33600,36600,39700,42700,操作_維修_技術服務,電子設備維修人員
電子設備維修人員,批發╱零售,33000,36300,39600,42900,46200,操作_維修_技術服務,電子設備維修人員
電鍍相關技術人員,電子科技╱資訊╱軟體╱半導體,35000,38500,42000,45500,49000,操作_維修_技術服務,電鍍相關技術人員
電鍍相關技術人員,一般傳統製造,33000,36300,39600,42900,46200,操作_維修_技術服務,電鍍相關技術人員
電鍍相關技術人員,建築營造╱不動產相關,35000,38500,42000,45500,49000,操作_維修_技術服務,電鍍相關技術人員
電鍍相關技術人員,一般服務業,35000,38500,42000,45500,49000,操作_維修_技術服務,電鍍相關技術人員
電鍍相關技術人員,旅遊╱休閒╱運動,30000,33000,36000,39000,42000,操作_維修_技術服務,電鍍相關技術人員
飛機修護員,電子科技╱資訊╱軟體╱半導體,34400,37800,41300,44700,48100,操作_維修_技術服務,飛機修護員
飛機修護員,一般傳統製造,39000,42900,46800,50700,54600,操作_維修_技術服務,飛機修護員
飛機修護員,礦業╱土石能源採取,38000,41800,45600,49400,53200,操作_維修_技術服務,飛機修護員
飛機修護員,政治╱宗教╱社福,45000,49500,54000,58500,63000,操作_維修_技術服務,飛機修護員
飛機修護員,法律╱會計╱顧問╱研發╱設計,40000,44000,48000,52000,56000,操作_維修_技術服務,飛機修護員
飛機修護員,運輸物流╱倉儲╱貿易,42000,46200,50400,54600,58800,操作_維修_技術服務,飛機修護員
飛機修護員,一般服務業,40500,44600,48600,52700,56700,操作_維修_技術服務,飛機修護員
飛機修護員,旅遊╱休閒╱運動,61000,67100,73200,79300,85400,操作_維修_技術服務,飛機修護員
飛機修護員,批發╱零售,39000,42900,46800,50700,54600,操作_維修_技術服務,飛機修護員
不動產經紀人／營業員,電子科技╱資訊╱軟體╱半導體,50000,55000,60000,65000,70000,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,政治╱宗教╱社福,40000,44000,48000,52000,56000,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,金融投顧╱保險相關,39000,42900,46800,50700,54600,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,法律╱會計╱顧問╱研發╱設計,31000,34100,37200,40300,43400,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,運輸物流╱倉儲╱貿易,37300,41100,44800,48500,52300,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,建築營造╱不動產相關,40000,44000,48000,52000,56000,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,醫療照護╱環境衛生,212500,233800,255000,276300,297500,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,農林漁牧╱水電資源,35000,38500,42000,45500,49000,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,一般服務業,36000,39600,43200,46800,50400,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,旅遊╱休閒╱運動,321500,353700,385800,418000,450100,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,餐飲╱住宿服務,32000,35200,38400,41600,44800,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,大眾傳播相關,32000,35200,38400,41600,44800,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,教育╱出版╱藝文相關,100000,110000,120000,130000,140000,業務_貿易_客服_門市,不動產經紀人／營業員
不動產經紀人／營業員,批發╱零售,50000,55000,60000,65000,70000,業務_貿易_客服_門市,不動產經紀人／營業員
保稅人員,電子科技╱資訊╱軟體╱半導體,38000,41800,45600,49400,53200,業務_貿易_客服_門市,保稅人員
保稅人員,一般傳統製造,36000,39600,43200,46800,50400,業務_貿易_客服_門市,保稅人員
保稅人員,運輸物流╱倉儲╱貿易,36000,39600,43200,46800,50400,業務_貿易_客服_門市,保稅人員
保稅人員,一般服務業,33000,36300,39600,42900,46200,業務_貿易_客服_門市,保稅人員
保稅人員,餐飲╱住宿服務,265000,291500,318000,344500,371000,業務_貿易_客服_門市,保稅人員
保稅人員,批發╱零售,29000,31900,34800,37700,40600,業務_貿易_客服_門市,保稅人員
保險業務員／經紀人,金融投顧╱保險相關,35000,38500,42000,45500,49000,業務_貿易_客服_門市,保險業務員／經紀人
保險業務員／經紀人,法律╱會計╱顧問╱研發╱設計,420000,462000,504000,546000,588000,業務_貿易_客服_門市,保險業務員／經紀人
保險業務員／經紀人,建築營造╱不動產相關,50000,55000,60000,65000,70000,業務_貿易_客服_門市,保險業務員／經紀人
保險業務員／經紀人,醫療照護╱環境衛生,28000,30800,33600,36400,39200,業務_貿易_客服_門市,保險業務員／經紀人
保險業務員／經紀人,一般服務業,33000,36300,39600,42900,46200,業務_貿易_客服_門市,保險業務員／經紀人
保險業務員／經紀人,旅遊╱休閒╱運動,29500,32500,35400,38400,41300,業務_貿易_客服_門市,保險業務員／經紀人
保險業務員／經紀人,餐飲╱住宿服務,30000,33000,36000,39000,42000,業務_貿易_客服_門市,保險業務員／經紀人
保險業務員／經紀人,教育╱出版╱藝文相關,32000,35200,38400,41600,44800,業務_貿易_客服_門市,保險業務員／經紀人
保險業務員／經紀人,批發╱零售,28500,31400,34200,37100,39900,業務_貿易_客服_門市,保險業務員／經紀人
信用卡類人員,金融投顧╱保險相關,40000,44000,48000,52000,56000,業務_貿易_客服_門市,信用卡類人員
信用卡類人員,一般服務業,30000,33000,36000,39000,42000,業務_貿易_客服_門市,信用卡類人員
信用卡類人員,旅遊╱休閒╱運動,27000,29700,32400,35100,37800,業務_貿易_客服_門市,信用卡類人員
信用卡類人員,批發╱零售,30000,33000,36000,39000,42000,業務_貿易_客服_門市,信用卡類人員
傳直銷人員,一般傳統製造,30000,33000,36000,39000,42000,業務_貿易_客服_門市,傳直銷人員
傳直銷人員,金融投顧╱保險相關,62500,68800,75000,81300,87500,業務_貿易_客服_門市,傳直銷人員
傳直銷人員,法律╱會計╱顧問╱研發╱設計,30000,33000,36000,39000,42000,業務_貿易_客服_門市,傳直銷人員
傳直銷人員,運輸物流╱倉儲╱貿易,37000,40700,44400,48100,51800,業務_貿易_客服_門市,傳直銷人員
傳直銷人員,醫療照護╱環境衛生,30000,33000,36000,39000,42000,業務_貿易_客服_門市,傳直銷人員
傳直銷人員,農林漁牧╱水電資源,31000,34100,37200,40300,43400,業務_貿易_客服_門市,傳直銷人員
傳直銷人員,一般服務業,27000,29700,32400,35100,37800,業務_貿易_客服_門市,傳直銷人員
傳直銷人員,旅遊╱休閒╱運動,35000,38500,42000,45500,49000,業務_貿易_客服_門市,傳直銷人員
傳直銷人員,餐飲╱住宿服務,27000,29700,32400,35100,37800,業務_貿易_客服_門市,傳直銷人員
傳直銷人員,大眾傳播相關,50000,55000,60000,65000,70000,業務_貿易_客服_門市,傳直銷人員
傳直銷人員,教育╱出版╱藝文相關,29500,32500,35400,38400,41300,業務_貿易_客服_門市,傳直銷人員
傳直銷人員,批發╱零售,33500,36900,40200,43600,46900,業務_貿易_客服_門市,傳直銷人員
售票／收銀人員,電子科技╱資訊╱軟體╱半導體,30000,33000,36000,39000,42000,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,一般傳統製造,28000,30800,33600,36400,39200,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,礦業╱土石能源採取,27500,30300,33000,35800,38500,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,政治╱宗教╱社福,28000,30800,33600,36400,39200,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,金融投顧╱保險相關,29500,32500,35400,38400,41300,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,法律╱會計╱顧問╱研發╱設計,30000,33000,36000,39000,42000,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,運輸物流╱倉儲╱貿易,30000,33000,36000,39000,42000,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,建築營造╱不動產相關,40000,44000,48000,52000,56000,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,醫療照護╱環境衛生,29000,31900,34800,37700,40600,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,農林漁牧╱水電資源,32000,35200,38400,41600,44800,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,一般服務業,28000,30800,33600,36400,39200,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,旅遊╱休閒╱運動,29000,31900,34800,37700,40600,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,餐飲╱住宿服務,28500,31400,34200,37100,39900,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,大眾傳播相關,28000,30800,33600,36400,39200,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,教育╱出版╱藝文相關,27000,29700,32400,35100,37800,業務_貿易_客服_門市,售票／收銀人員
售票／收銀人員,批發╱零售,28000,30800,33600,36400,39200,業務_貿易_客服_門市,售票／收銀人員
國內業務主管,電子科技╱資訊╱軟體╱半導體,55000,60500,66000,71500,77000,業務_貿易_客服_門市,國內業務主管
國內業務主管,一般傳統製造,50000,55000,60000,65000,70000,業務_貿易_客服_門市,國內業務主管
國內業務主管,礦業╱土石能源採取,60000,66000,72000,78000,84000,業務_貿易_客服_門市,國內業務主管
國內業務主管,政治╱宗教╱社福,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國內業務主管
國內業務主管,金融投顧╱保險相關,50000,55000,60000,65000,70000,業務_貿易_客服_門市,國內業務主管
國內業務主管,法律╱會計╱顧問╱研發╱設計,50000,55000,60000,65000,70000,業務_貿易_客服_門市,國內業務主管
國內業務主管,運輸物流╱倉儲╱貿易,50000,55000,60000,65000,70000,業務_貿易_客服_門市,國內業務主管
國內業務主管,建築營造╱不動產相關,50000,55000,60000,65000,70000,業務_貿易_客服_門市,國內業務主管
國內業務主管,醫療照護╱環境衛生,51500,56700,61800,67000,72100,業務_貿易_客服_門市,國內業務主管
國內業務主管,農林漁牧╱水電資源,45000,49500,54000,58500,63000,業務_貿易_客服_門市,國內業務主管
國內業務主管,一般服務業,45000,49500,54000,58500,63000,業務_貿易_客服_門市,國內業務主管
國內業務主管,旅遊╱休閒╱運動,45000,49500,54000,58500,63000,業務_貿易_客服_門市,國內業務主管
國內業務主管,餐飲╱住宿服務,45000,49500,54000,58500,63000,業務_貿易_客服_門市,國內業務主管
國內業務主管,大眾傳播相關,50000,55000,60000,65000,70000,業務_貿易_客服_門市,國內業務主管
國內業務主管,教育╱出版╱藝文相關,45000,49500,54000,58500,63000,業務_貿易_客服_門市,國內業務主管
國內業務主管,批發╱零售,50000,55000,60000,65000,70000,業務_貿易_客服_門市,國內業務主管
國內業務人員,電子科技╱資訊╱軟體╱半導體,38000,41800,45600,49400,53200,業務_貿易_客服_門市,國內業務人員
國內業務人員,一般傳統製造,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國內業務人員
國內業務人員,礦業╱土石能源採取,32000,35200,38400,41600,44800,業務_貿易_客服_門市,國內業務人員
國內業務人員,政治╱宗教╱社福,33000,36300,39600,42900,46200,業務_貿易_客服_門市,國內業務人員
國內業務人員,金融投顧╱保險相關,36000,39600,43200,46800,50400,業務_貿易_客服_門市,國內業務人員
國內業務人員,法律╱會計╱顧問╱研發╱設計,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國內業務人員
國內業務人員,運輸物流╱倉儲╱貿易,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國內業務人員
國內業務人員,建築營造╱不動產相關,38000,41800,45600,49400,53200,業務_貿易_客服_門市,國內業務人員
國內業務人員,醫療照護╱環境衛生,36000,39600,43200,46800,50400,業務_貿易_客服_門市,國內業務人員
國內業務人員,農林漁牧╱水電資源,38000,41800,45600,49400,53200,業務_貿易_客服_門市,國內業務人員
國內業務人員,一般服務業,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國內業務人員
國內業務人員,旅遊╱休閒╱運動,32000,35200,38400,41600,44800,業務_貿易_客服_門市,國內業務人員
國內業務人員,餐飲╱住宿服務,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國內業務人員
國內業務人員,大眾傳播相關,33400,36800,40100,43500,46800,業務_貿易_客服_門市,國內業務人員
國內業務人員,教育╱出版╱藝文相關,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國內業務人員
國內業務人員,批發╱零售,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國內業務人員
國外業務主管,電子科技╱資訊╱軟體╱半導體,68000,74800,81600,88400,95200,業務_貿易_客服_門市,國外業務主管
國外業務主管,一般傳統製造,53000,58300,63600,68900,74200,業務_貿易_客服_門市,國外業務主管
國外業務主管,金融投顧╱保險相關,44000,48400,52800,57200,61600,業務_貿易_客服_門市,國外業務主管
國外業務主管,法律╱會計╱顧問╱研發╱設計,68800,75700,82500,89400,96300,業務_貿易_客服_門市,國外業務主管
國外業務主管,運輸物流╱倉儲╱貿易,55000,60500,66000,71500,77000,業務_貿易_客服_門市,國外業務主管
國外業務主管,建築營造╱不動產相關,80000,88000,96000,104000,112000,業務_貿易_客服_門市,國外業務主管
國外業務主管,醫療照護╱環境衛生,50000,55000,60000,65000,70000,業務_貿易_客服_門市,國外業務主管
國外業務主管,農林漁牧╱水電資源,70000,77000,84000,91000,98000,業務_貿易_客服_門市,國外業務主管
國外業務主管,一般服務業,46000,50600,55200,59800,64400,業務_貿易_客服_門市,國外業務主管
國外業務主管,旅遊╱休閒╱運動,43500,47900,52200,56600,60900,業務_貿易_客服_門市,國外業務主管
國外業務主管,餐飲╱住宿服務,65000,71500,78000,84500,91000,業務_貿易_客服_門市,國外業務主管
國外業務主管,大眾傳播相關,50000,55000,60000,65000,70000,業務_貿易_客服_門市,國外業務主管
國外業務主管,教育╱出版╱藝文相關,55500,61100,66600,72200,77700,業務_貿易_客服_門市,國外業務主管
國外業務主管,批發╱零售,52500,57800,63000,68300,73500,業務_貿易_客服_門市,國外業務主管
國外業務人員,電子科技╱資訊╱軟體╱半導體,42000,46200,50400,54600,58800,業務_貿易_客服_門市,國外業務人員
國外業務人員,一般傳統製造,38000,41800,45600,49400,53200,業務_貿易_客服_門市,國外業務人員
國外業務人員,礦業╱土石能源採取,41000,45100,49200,53300,57400,業務_貿易_客服_門市,國外業務人員
國外業務人員,政治╱宗教╱社福,34300,37700,41100,44600,48000,業務_貿易_客服_門市,國外業務人員
國外業務人員,金融投顧╱保險相關,32000,35200,38400,41600,44800,業務_貿易_客服_門市,國外業務人員
國外業務人員,法律╱會計╱顧問╱研發╱設計,39000,42900,46800,50700,54600,業務_貿易_客服_門市,國外業務人員
國外業務人員,運輸物流╱倉儲╱貿易,40000,44000,48000,52000,56000,業務_貿易_客服_門市,國外業務人員
國外業務人員,建築營造╱不動產相關,42000,46200,50400,54600,58800,業務_貿易_客服_門市,國外業務人員
國外業務人員,醫療照護╱環境衛生,42000,46200,50400,54600,58800,業務_貿易_客服_門市,國外業務人員
國外業務人員,農林漁牧╱水電資源,32000,35200,38400,41600,44800,業務_貿易_客服_門市,國外業務人員
國外業務人員,一般服務業,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國外業務人員
國外業務人員,旅遊╱休閒╱運動,31000,34100,37200,40300,43400,業務_貿易_客服_門市,國外業務人員
國外業務人員,餐飲╱住宿服務,34500,38000,41400,44900,48300,業務_貿易_客服_門市,國外業務人員
國外業務人員,大眾傳播相關,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國外業務人員
國外業務人員,教育╱出版╱藝文相關,38900,42700,46600,50500,54400,業務_貿易_客服_門市,國外業務人員
國外業務人員,批發╱零售,36000,39600,43200,46800,50400,業務_貿易_客服_門市,國外業務人員
國貿人員,電子科技╱資訊╱軟體╱半導體,40000,44000,48000,52000,56000,業務_貿易_客服_門市,國貿人員
國貿人員,一般傳統製造,36000,39600,43200,46800,50400,業務_貿易_客服_門市,國貿人員
國貿人員,礦業╱土石能源採取,46000,50600,55200,59800,64400,業務_貿易_客服_門市,國貿人員
國貿人員,政治╱宗教╱社福,28000,30800,33600,36400,39200,業務_貿易_客服_門市,國貿人員
國貿人員,金融投顧╱保險相關,39500,43500,47400,51400,55300,業務_貿易_客服_門市,國貿人員
國貿人員,法律╱會計╱顧問╱研發╱設計,30000,33000,36000,39000,42000,業務_貿易_客服_門市,國貿人員
國貿人員,運輸物流╱倉儲╱貿易,36000,39600,43200,46800,50400,業務_貿易_客服_門市,國貿人員
國貿人員,建築營造╱不動產相關,37000,40700,44400,48100,51800,業務_貿易_客服_門市,國貿人員
國貿人員,醫療照護╱環境衛生,38500,42400,46200,50100,53900,業務_貿易_客服_門市,國貿人員
國貿人員,農林漁牧╱水電資源,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國貿人員
國貿人員,一般服務業,36000,39600,43200,46800,50400,業務_貿易_客服_門市,國貿人員
國貿人員,旅遊╱休閒╱運動,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國貿人員
國貿人員,餐飲╱住宿服務,34500,38000,41400,44900,48300,業務_貿易_客服_門市,國貿人員
國貿人員,教育╱出版╱藝文相關,30000,33000,36000,39000,42000,業務_貿易_客服_門市,國貿人員
國貿人員,批發╱零售,36000,39600,43200,46800,50400,業務_貿易_客服_門市,國貿人員
國貿助理,電子科技╱資訊╱軟體╱半導體,34000,37400,40800,44200,47600,業務_貿易_客服_門市,國貿助理
國貿助理,一般傳統製造,31000,34100,37200,40300,43400,業務_貿易_客服_門市,國貿助理
國貿助理,礦業╱土石能源採取,36400,40100,43700,47300,51000,業務_貿易_客服_門市,國貿助理
國貿助理,金融投顧╱保險相關,30500,33600,36600,39700,42700,業務_貿易_客服_門市,國貿助理
國貿助理,法律╱會計╱顧問╱研發╱設計,30000,33000,36000,39000,42000,業務_貿易_客服_門市,國貿助理
國貿助理,運輸物流╱倉儲╱貿易,32000,35200,38400,41600,44800,業務_貿易_客服_門市,國貿助理
國貿助理,建築營造╱不動產相關,35000,38500,42000,45500,49000,業務_貿易_客服_門市,國貿助理
國貿助理,醫療照護╱環境衛生,32000,35200,38400,41600,44800,業務_貿易_客服_門市,國貿助理
國貿助理,農林漁牧╱水電資源,32000,35200,38400,41600,44800,業務_貿易_客服_門市,國貿助理
國貿助理,一般服務業,31000,34100,37200,40300,43400,業務_貿易_客服_門市,國貿助理
國貿助理,旅遊╱休閒╱運動,34000,37400,40800,44200,47600,業務_貿易_客服_門市,國貿助理
國貿助理,教育╱出版╱藝文相關,27000,29700,32400,35100,37800,業務_貿易_客服_門市,國貿助理
國貿助理,批發╱零售,31000,34100,37200,40300,43400,業務_貿易_客服_門市,國貿助理
報關人員,電子科技╱資訊╱軟體╱半導體,43000,47300,51600,55900,60200,業務_貿易_客服_門市,報關人員
報關人員,一般傳統製造,35000,38500,42000,45500,49000,業務_貿易_客服_門市,報關人員
報關人員,運輸物流╱倉儲╱貿易,32000,35200,38400,41600,44800,業務_貿易_客服_門市,報關人員
報關人員,農林漁牧╱水電資源,32000,35200,38400,41600,44800,業務_貿易_客服_門市,報關人員
報關人員,一般服務業,30000,33000,36000,39000,42000,業務_貿易_客服_門市,報關人員
報關人員,批發╱零售,31000,34100,37200,40300,43400,業務_貿易_客服_門市,報關人員
大型賣場管理人員,電子科技╱資訊╱軟體╱半導體,43500,47900,52200,56600,60900,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,一般傳統製造,30000,33000,36000,39000,42000,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,政治╱宗教╱社福,25000,27500,30000,32500,35000,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,法律╱會計╱顧問╱研發╱設計,40500,44600,48600,52700,56700,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,運輸物流╱倉儲╱貿易,28000,30800,33600,36400,39200,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,建築營造╱不動產相關,35000,38500,42000,45500,49000,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,醫療照護╱環境衛生,45000,49500,54000,58500,63000,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,農林漁牧╱水電資源,29000,31900,34800,37700,40600,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,一般服務業,29800,32800,35700,38700,41700,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,旅遊╱休閒╱運動,30000,33000,36000,39000,42000,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,餐飲╱住宿服務,30000,33000,36000,39000,42000,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,大眾傳播相關,33000,36300,39600,42900,46200,業務_貿易_客服_門市,大型賣場管理人員
大型賣場管理人員,批發╱零售,29000,31900,34800,37700,40600,業務_貿易_客服_門市,大型賣場管理人員
客戶成功經理,電子科技╱資訊╱軟體╱半導體,63000,69300,75600,81900,88200,業務_貿易_客服_門市,客戶成功經理
客戶成功經理,金融投顧╱保險相關,40000,44000,48000,52000,56000,業務_貿易_客服_門市,客戶成功經理
客戶成功經理,建築營造╱不動產相關,80000,88000,96000,104000,112000,業務_貿易_客服_門市,客戶成功經理
客戶成功經理,醫療照護╱環境衛生,30000,33000,36000,39000,42000,業務_貿易_客服_門市,客戶成功經理
客戶成功經理,教育╱出版╱藝文相關,34000,37400,40800,44200,47600,業務_貿易_客服_門市,客戶成功經理
客戶成功經理,批發╱零售,40000,44000,48000,52000,56000,業務_貿易_客服_門市,客戶成功經理
客服主管,電子科技╱資訊╱軟體╱半導體,45000,49500,54000,58500,63000,業務_貿易_客服_門市,客服主管
