縣市,產業類別,薪資項目,數值
南投縣,住宿及餐飲業,行業中位數(元),412000
南投縣,金屬機電工業,行業中位數(元),483000
南投縣,醫療保健及社會工作服務業,行業中位數(元),619000
南投縣,零售業,行業中位數(元),424000
雲林縣,化學工業,行業中位數(元),1008000
雲林縣,民生工業,行業中位數(元),499000
雲林縣,營建工程業,行業中位數(元),389000
雲林縣,金屬機電工業,行業中位數(元),532000
嘉義縣,民生工業,行業中位數(元),492000
嘉義縣,金屬機電工業,行業中位數(元),460000
嘉義縣,化學工業,行業中位數(元),550000
嘉義縣,批發業,行業中位數(元),398000
屏東縣,批發業,行業中位數(元),402000
屏東縣,醫療保健及社會工作服務業,行業中位數(元),598000
屏東縣,零售業,行業中位數(元),426000
屏東縣,金屬機電工業,行業中位數(元),482000
臺東縣,住宿及餐飲業,行業中位數(元),420000
臺東縣,零售業,行業中位數(元),441000
臺東縣,醫療保健及社會工作服務業,行業中位數(元),654000
臺東縣,營建工程業,行業中位數(元),421000
花蓮縣,醫療保健及社會工作服務業,行業中位數(元),667000
花蓮縣,住宿及餐飲業,行業中位數(元),449000
花蓮縣,零售業,行業中位數(元),449000
花蓮縣,營建工程業,行業中位數(元),462000
澎湖縣,住宿及餐飲業,行業中位數(元),448000
澎湖縣,零售業,行業中位數(元),493000
澎湖縣,營建工程業,行業中位數(元),398000
澎湖縣,醫療保健及社會工作服務業,行業中位數(元),685000
基隆市,運輸及倉儲業,行業中位數(元),576000
基隆市,零售業,行業中位數(元),487000
基隆市,醫療保健及社會工作服務業,行業中位數(元),748000
基隆市,營建工程業,行業中位數(元),500000
新竹市,資訊電子工業,行業中位數(元),1379000
新竹市,批發業,行業中位數(元),603000
新竹市,支援服務業,行業中位數(元),466000
新竹市,金屬機電工業,行業中位數(元),916000
嘉義市,醫療保健及社會工作服務業,行業中位數(元),660000
嘉義市,零售業,行業中位數(元),445000
嘉義市,批發業,行業中位數(元),419000
嘉義市,住宿及餐飲業,行業中位數(元),392000
